# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
#IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

#WALK UP
12501	336	80	350	95	0
12502	96	80	110	95	0

#WALK DOWN
12601	305	80	321	95	0
12602	125	80	141	95	0

########### FIRE_BALL #############
#IDLE
17001	246	394	260	421	0
17002	186	394	200	421	0

#WALK RIGHT
17003	275	394	291	421	0
17004	305	395	321	421	0

#WALK LEFT
17005	155	394	171	421	0
17006	125	395	141	421	0

#RUN RIGHT
17007	334	394	353	421	0
17008	362	394	181	421	0
17009	392	395	411	421	0

#RUN LEFT
