# list of object assets to load in this scene
[ASSETS]
Resource\Objects\brick.txt
Resource\Objects\mario.txt
Resource\Objects\floor.txt
Resource\Objects\background_tree.txt
Resource\Objects\background_cloud.txt
Resource\Objects\pipe.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	10


#Platform
5	0	140	16	16	40	51000	52000
5	640	124	16	16	29	51000	52000
5	640	140	16	16	29	53000	54000
5	1168	140	16	16	21	51000	52000
5	1536	140	16	16	5	51000	52000
5	1664	140	16	16	36	51000	52000
5	2256	140	16	16	38	51000	52000

#background
#tree
6	16	124	16	16	1	63000	64000
6	32	124	16	16	3	67000	67000
6	80	124	16	16	2	65000	66000
6	112	124	16	16	2	63000	64000
6	16	108	16	16	1	63000	64000
6	32	108	16	16	2	65000	66000
6	64	108	16	16	3	67000	67000
6	112	108	16	16	1	65000	66000
6	128	108	16	16	1	62000	62000
6	16	92	16	16	1	61000	62000
6	32	92	16	16	1	66000	66000
6	48	92	16	16	1	64000	64000
6	64	92	16	16	2	61000	62000
6	96	92	16	16	2	61000	62000
6	32	76	16	16	2	61000	62000
#tree2
6	832	108	16	16	1	61000	61000
6	848	108	16	16	1	66000	66000
6	864	108	16	16	5	67000	67000
6	944	108	16	16	1	64000	64000
6	960	108	16	16	1	61000	61000
6	976	108	16	16	1	66000	66000
6	992	108	16	16	1	67000	67000
6	1008	108	16	16	1	64000	64000
6	848	92	16	16	1	63000	63000
6	864	92	16	16	2	65000	66000
6	896	92	16	16	2	65000	66000
6	928	92	16	16	1	67000	67000
6	944	92	16	16	1	64000	64000
6	976	92	16	16	1	63000	63000
6	992	92	16	16	2	65000	62000
6	848	76	16	16	2	61000	62000
6	880	76	16	16	2	61000	66000
6	912	76	16	16	1	64000	64000
6	928	76	16	16	2	61000	62000
6	976	76	16	16	2	61000	62000
6	896	60	16	16	2	61000	62000
#tree3
6	1872	124	16	16	2	61000	66000
6	1904	124	16	16	2	67000	64000
6	1886	108	16	16	1	63000	63000
6	1902	108	16	16	2	65000	62000
6	1886	92	16	16	2	61000	62000
#tree4
6	2386	124	16	16	5	63000	67000
6	2466	124	16	16	1	64000	64000
6	2386	108	16	16	4	63000	67000
6	2450	108	16	16	2	65000	62000
6	2386	92	16	16	4	63000	67000
6	2450	92	16	16	1	64000	64000
6	2386	76	16	16	2	61000	66000
6	2418	76	16	16	2	67000	67000
6	2450	76	16	16	1	64000	64000
6	2402	60	16	16	2	61000	66000
6	2434	60	16	16	2	67000	64000
6	2418	44	16	16	2	63000	67000
6	2450	44	16	16	1	64000	64000
6	2418	28	16	16	1	63000	63000
6	2434	28	16	16	2	65000	62000
6	2418	12	16	16	2	61000	62000
#tree_small
6	160	124	16	16	3	68000	68000
6	688	108	16	16	6	68000	68000
6	1056	108	16	16	2	68000	68000
6	1200	124	16	16	2	68000	68000
6	1728	124	16	16	3	68000	68000
#cloud1
6	712	-4	16	16	2	71000	72000
6	744	-4	16	16	2	72000	73000
6	712	12	16	16	2	74000	75000
6	744	12	16	16	2	75000	76000
#cloud2
6	320	-36	16	16	2	71000	72000
6	352	-36	16	16	1	73000	73000
6	320	-20	16	16	2	73000	74000
6	352	-20	16	16	1	75000	75000
#cloud3
6	736	-68	16	16	4	71000	72000
6	800	-68	16	16	1	73000	73000
6	736	-52	16	16	4	74000	75000
6	800	-52	16	16	1	75000	75000
#pipe1
7	208	92	16	16	2	81000	82000
7	208	108	16	16	2	83000	84000
7	208	124	16	16	2	83000	84000
#pipe2
7	352	92	16	16	2	81000	82000
7	352	108	16	16	2	83000	84000
7	352	124	16	16	2	83000	84000
#pipe3
7	1792	108	16	16	2	81000	82000
7	1792	124	16	16	2	83000	84000
#pipe4
7	1856	92	16	16	2	81000	82000
7	1856	108	16	16	2	83000	84000
7	1856	124	16	16	2	83000	84000
#pipe5
7	2256	108	16	16	2	83000	84000
7	2256	124	16	16	2	83000	84000
#pipe6
7	2320	108	16	16	2	81000	82000
7	2320	124	16	16	2	83000	84000
#pipe7
7	2256	-116	16	16	2	81000	82000
7	2256	-100	16	16	2	83000	84000
7	2256	-84	16	16	2	83000	84000
7	2256	-68	16	16	2	83000	84000
7	2256	-52	16	16	2	83000	84000
7	2256	-36	16	16	2	83000	84000
7	2256	-20	16	16	2	83000	84000
7	2256	-4	16	16	2	83000	84000
7	2256	12	16	16	2	83000	84000
7	2256	28	16	16	2	83000	84000

#brick1
1	1504	60	16	16	2	21000
#brick2
1	1568	124	16	16	3	21000
1	1584	108	16	16	2	21000
1	1600	92	16	16	1	21000
#brick3
1	1664	124	16	16	3	21000
1	1664	108	16	16	2	21000
1	1664	92	16	16	1	21000
#brick4
1	2256	92	16	16	2	21000
1	2256	44	16	16	2	21000


